close,net_change,date
9789.36340457,124.17,2009-09-28 00:00:00.0
9742.20468885,-47.16,2009-09-29 00:00:00.0
9712.27704234,-29.93,2009-09-30 00:00:00.0
9509.28295513,-202.99,2009-10-01 00:00:00.0
9487.66854376,-21.61,2009-10-02 00:00:00.0
9599.74606845,112.08,2009-10-05 00:00:00.0
9731.24633344,131.50,2009-10-06 00:00:00.0
9725.57821857,-5.67,2009-10-07 00:00:00.0
9786.86943403,61.29,2009-10-08 00:00:00.0
9864.93826951,78.07,2009-10-09 00:00:00.0
9885.79693223,20.86,2009-10-12 00:00:00.0
9871.05983357,-14.74,2009-10-13 00:00:00.0
